id	name	name_src	type	aat_type	close_match
15713	Tantamayo	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6001064
15714	Tantima	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1004224
15715	Tantoyuca	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1004226
15716	Tanzitaro	alcedo	alcaldía mayor	inhabited place	
15717	Tanzozob	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1005469
15718	Tapacari	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000029
15719	Tapacric	alcedo	pueblo	town	
15720	Tapacroya	alcedo	pueblo	town	
15721	Tapacures	alcedo	people	cultural group	
15722	Tapacures	alcedo	montaña	mountain	
15723	Tapacuro	alcedo	rio	river	
15724	Tapado	alcedo	rio	river	
15725	Tapahanock	alcedo	pueblo	town	
15726	Tapairihua	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000209
15727	Tapajocos	alcedo			
15728	Tapalaga	alcedo	pueblo	town	
15729	Tapan	alcedo	pueblo	town	
15730	Tapanatepec	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1002659
15731	Tapanzaqueco	alcedo	pueblo	town	
15732	Tapaquire	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=4000285
15733	Tapaquire	alcedo	rio	river	
15734	Tap	alcedo			
15735	Taparica	alcedo	isla	island	
15736	Tapaoy	alcedo	pueblo	town	
15737	Tapay	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000087
15738	Tapaya	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000782
15739	Tapayula	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1003786
15740	Tape	alcedo			
15741	Tape	alcedo	montaña	mountain	
15742	Tape	alcedo	pueblo	town	
15743	Tapes	alcedo	pueblo	town	
15744	Tapia	alcedo	pueblo	town	
15745	Tapia	alcedo	pueblo	town	
15746	Tapia	alcedo	provincia	province	
15747	Sse	alcedo	rio	river	
15748	Sse	alcedo	rio	river	
15749	Tapicu	alcedo	bahía	inlet	
15750	Tapicura	alcedo	rio	river	
15751	Tapicuro	alcedo	pueblo	town	
15752	Tapicuru	alcedo	rio	river	
15753	Tapilula	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=2000106
15754	Tapion	alcedo	isla	island	
15755	Tapiroza	alcedo	estrecho	strait	
15756	Tapisi	alcedo	rio	river	
15757	Tapitay	alcedo	pueblo	town	
15758	Tapo	alcedo	rio	river	
15759	Tapoanar	alcedo			
15760	Tapocalma	alcedo	pueblo	town	
15761	Tapocaya	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000068
15762	Taporica	alcedo	isla	island	
15763	Taporo	alcedo	pueblo	town	
15764	Tapouchas	alcedo	pueblos y tierras indígenas	town	
15765	Tapoyaes	alcedo	rio	river	
15766	Tapu	alcedo	pueblo	town	
15767	Tapu	alcedo	pueblo	town	
15768	Tapuas	alcedo	pueblo	town	
15769	Tapuca	alcedo	rio	river	
15770	Tapuonga	alcedo	rio	river	
15771	Tapuregeren	alcedo	pueblo	town	
